lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,demo_watched_date,language,watched_percentage,jnr_sm_id_x,lead_stage,call_done_date,call_status,call_reason,reasons_for_not_interested_in_demo,reasons_for_not_interested_to_consider,reasons_for_not_interested_to_convert,snr_sm_id,jnr_sm_id_y,assigned_date,cycle
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,2022-01-17,Not Provided,57.0,JNR1001MG,lead,2022-01-02,successful,lead_introduction,No time for student,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,2022-01-17,Not Provided,57.0,JNR1001MG,lead,2022-01-02,successful,demo_schedule,No time for student,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,lead,2022-01-03,successful,lead_introduction,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,lead,2022-01-04,successful,demo_schedule,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,awareness,2022-01-05,successful,post_demo_followup,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,awareness,2022-01-06,successful,followup_for_consideration,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,consideration,2022-01-07,successful,interested_for_conversion,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,consideration,2022-01-07,successful,followup_for_conversion,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,consideration,2022-01-07,successful,followup_for_conversion,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,2022-01-04,Telugu,42.0,JNR1001MG,conversion,2022-01-07,successful,successful_conversion,Not Provided,Not Provided,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,2022-01-07,Telugu,81.0,JNR1001MG,lead,2022-01-04,unsuccessful,lead_introduction,Not Provided,No time for student,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,2022-01-07,Telugu,81.0,JNR1001MG,lead,2022-01-05,successful,lead_introduction,Not Provided,No time for student,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,2022-01-07,Telugu,81.0,JNR1001MG,lead,2022-01-07,successful,demo_schedule,Not Provided,No time for student,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,2022-01-07,Telugu,81.0,JNR1001MG,awareness,2022-01-08,successful,post_demo_followup,Not Provided,No time for student,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,2022-01-07,Telugu,81.0,JNR1001MG,awareness,2022-01-09,successful,followup_for_consideration,Not Provided,No time for student,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,2022-01-02,Telugu,35.0,JNR1001MG,lead,2022-01-01,successful,lead_introduction,Not Provided,Wants offline classes,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,2022-01-02,Telugu,35.0,JNR1001MG,lead,2022-01-02,successful,demo_schedule,Not Provided,Wants offline classes,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,2022-01-02,Telugu,35.0,JNR1001MG,awareness,2022-01-03,successful,post_demo_followup,Not Provided,Wants offline classes,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,2022-01-03,Hindi,38.0,JNR1001MG,lead,2022-01-01,unsuccessful,lead_introduction,Not Provided,Can't afford,Not Provided,SNR501MG,JNR1001MG,2022-01-01,1
